Row Labels,Sum of Clciks,,
90EFBD50-11F4-4FB6-805F-368BEADC61AE,3,3,TRUE
68B8614E-34D0-4368-A9F6-C4BD90A2CF7C,3,3,TRUE
66F8BE5C-86A2-41E7-BB70-F3482A2A65BD,3,3,TRUE
60C8B539-DE24-439E-8CE3-3B086D18C2EF,3,3,TRUE
735C3334-7B9B-4B5E-AE75-213397D30710,3,3,TRUE
76E199B0-0AD0-4D05-A7CA-034B76BC88B2,3,3,TRUE
744D01A7-0112-477A-B388-9EAA67D82457,3,3,TRUE
7DF7A667-6662-46C5-8451-E62DC8E6A6A2,3,3,TRUE
74991B3D-0376-4726-A336-A37A21C10596,3,3,TRUE
653614DE-8296-4DE4-A586-44DB8764D7DD,3,3,TRUE
6BAD0E42-CD80-481F-947F-73B972088E52,3,3,TRUE
62BE6FDF-0C9D-4065-B767-FC7ABFD08B4B,3,3,TRUE
766A6559-1189-4613-AB05-9A3C4E79DDAA,3,3,TRUE
6D96ECD3-30BF-4426-BD36-6B13F87DC8E5,3,3,TRUE
80E6B135-4429-453D-82C8-888D056006C8,3,3,TRUE
5D221057-048A-4DFC-8EA5-5A8890FE3BB5,3,3,TRUE
424770FC-0458-447E-8A1E-4934DDBFC884,3,3,TRUE
5BFD613C-FC2C-42B8-B46F-F5D47B133F55,3,3,TRUE
478C18B2-26F1-4B78-BF2D-377BD900B3ED,3,3,TRUE
5D214C7C-BAC6-4B9C-88AC-0CF3C5BCA987,3,3,TRUE
55F8D41D-348A-4F5A-8BE5-5DFFB0750344,3,3,TRUE
4384E9B1-C9BC-4FB2-A263-15CD9AA33E98,3,3,TRUE
4A699450-F6B4-409F-899C-EB067BB7B9CD,3,3,TRUE
4A4F46DC-CFD5-47E2-B01B-D794398A85D2,3,3,TRUE
50480D45-1C69-4C88-82CB-2173D374DA0F,3,3,TRUE
233CF3EE-1EFA-4288-A50D-D2CB26B3CFD2,3,3,TRUE
2CC4F48C-BE81-4BF4-AE0B-E9636329DCFA,3,3,TRUE
1FFED5D2-1F5B-4587-9A02-459D8F949EB2,3,3,TRUE
36F914F9-E2A7-40A6-A3DD-DF3D44AA2AFD,3,3,TRUE
2E5C6A33-CB2A-4097-9759-3DFFD460A250,3,3,TRUE
2484D9E1-AEDA-423C-8804-030C9B6088D8,3,3,TRUE
202DDB42-B3B5-441D-9D26-A7283358C694,3,3,TRUE
251D3DE3-7604-4065-8C59-9137692B20FF,3,3,TRUE
3D6EA143-2520-4C0D-9017-C8FAD26F580C,3,3,TRUE
2CAF1023-50AB-458B-8479-CC8B956483E7,3,3,TRUE
3F00C249-F12F-4BC3-8CEA-C4B5750C52F0,3,3,TRUE
231ADBAA-F596-4358-90CE-6B9AF9B57763,3,3,TRUE
2502A34F-97EA-4907-B953-A0D0756327B7,3,3,TRUE
3A57E100-C331-4D5D-9CD7-DE5D2F63AD16,3,3,TRUE
268437A6-D657-48ED-A14B-9AB09A42F6E6,3,3,TRUE
390922D5-2618-4EF9-A262-1B427B69DC64,3,3,TRUE
2F0E579D-4B98-4B03-BEF2-D9D471104D48,3,3,TRUE
1D668965-5296-4798-9AF7-A0B565F2452B,3,3,TRUE
19D2A200-9951-413F-B126-4BCF5BA4E26F,3,3,TRUE
12FED512-BEAC-4F00-9FA1-152AE19C5D2B,3,3,TRUE
05DB616A-69C6-4165-BE00-9D28FA9BE572,3,3,TRUE
1BEB8148-D38F-44FB-8938-5603FF41771F,3,3,TRUE
0776D5C1-8190-4F63-BFE1-BF252043B413,3,3,TRUE
11DED7D6-BB75-43F6-9133-5F13F23A19CC,3,3,TRUE
07F25246-BC04-4F94-9374-AE1F78A1C0AC,3,3,TRUE
195A3FE6-F031-4B64-88E8-25EB74DA0955,3,3,TRUE
0B05DD91-879D-4DFD-B40E-03255010AE65,3,3,TRUE
1ABFE42E-D2B8-4363-9F22-4567A48A46D6,3,3,TRUE
0B25EFA2-ABA5-457B-93B5-21B009724D2F,3,3,TRUE
1C1182B5-46CE-47C4-B2DF-422B86195DAA,3,3,TRUE
0BF6976A-CBCA-4054-AD02-3F61E0AB46A3,3,3,TRUE
0D474BE8-3D27-43FE-8970-E32E6D694CB1,3,3,TRUE
F5D1E160-6C9B-4087-879A-B63C67DFEDAB,2,2,TRUE
FCA884CB-A84B-4AE5-8770-6C54CBCEC33B,2,2,TRUE
F951EAFB-3FFF-4D3E-8EC5-35D43924C5C2,2,2,TRUE
E58ED1FD-907C-4A16-ADAE-67DD26EE2FA1,2,2,TRUE
F45957EB-C46E-4B99-99F6-E360BE6394E5,2,2,TRUE
E5D34E8A-D0CE-4A22-8312-6C70905ACC4A,2,2,TRUE
F6C31882-DB3E-4D0F-84B5-BD0162572E62,2,2,TRUE
E6892FE9-C9F3-40C4-B3D0-CCC1638475F7,2,2,TRUE
FADCAC2E-C38A-4534-8548-B6D688271767,2,2,TRUE
E6D56492-5D93-477B-A133-EE0905B7D712,2,2,TRUE
FF54C4AE-C453-41E6-8024-C86338BC629A,2,2,TRUE
E7D884B2-1C85-4198-A403-6A70D58D6B44,2,2,TRUE
F515F6AA-989A-464A-A174-D39061319347,2,2,TRUE
E7F8EECC-2CD6-4AA7-89D7-2BDFC8E03055,2,2,TRUE
F604A8DC-7631-4BB1-8F88-C34E9F713218,2,2,TRUE
E820CDBB-40A9-43E1-B048-A4365568E39C,2,2,TRUE
F76A4985-E697-4D71-99FB-9FD5970208D8,2,2,TRUE
E2F0B2FF-5D84-40DE-A139-ACB21469499E,2,2,TRUE
FA552816-89DC-4AF9-B540-FA30C3B9FFE5,2,2,TRUE
E8CB102F-90B7-4449-8270-64D202024991,2,2,TRUE
FB396163-0977-4200-8BEC-6DCF6FAF99FD,2,2,TRUE
E9CF77AB-E060-4C1C-B137-63D14E464271,2,2,TRUE
FEC3EE15-BBED-4861-ACA2-DB71440F3615,2,2,TRUE
EA0F95A1-925A-414C-BA7F-D8C68B9EB06F,2,2,TRUE
F32E4B7C-9371-47D8-A0AB-6CA28980E7DA,2,2,TRUE
EB5DE07A-2663-43FC-9B3D-3606835B295D,2,2,TRUE
F45A6D42-4C68-44C9-8450-6700A2A0C0D1,2,2,TRUE
EB9834AE-9B78-4B1B-93D6-84F88592E596,2,2,TRUE
F5C721C1-8A1D-4E9B-A122-8E4793ECC527,2,2,TRUE
EC4C0B48-52D4-4BBA-83D3-D7F9F41146BB,2,2,TRUE
F5E4C735-BE4D-4E27-9021-64C4C644F05A,2,2,TRUE
ECF4B833-B005-4081-AC3D-A9A7542FBA85,2,2,TRUE
F6371CCC-B9A1-4046-9A75-FD55978C1592,2,2,TRUE
ED11A238-6A3A-41E3-B963-C19434B67682,2,2,TRUE
F6D434C0-CC52-4BAF-B331-B6E5D9B6084E,2,2,TRUE
ED8F99AD-2F47-43F7-9BBF-9DCE89DC6C96,2,2,TRUE
F87F2D0B-AD71-4199-B8A1-31DACE57E4FE,2,2,TRUE
E3721157-864B-4935-9186-8AA38FF382A8,2,2,TRUE
F98C85A7-4ED8-40AE-ABC8-42B84DF1198A,2,2,TRUE
EEF93AEC-E2E1-4743-89EC-CFEC251A3D5F,2,2,TRUE
FAAE1004-8C08-4F59-947E-38ED8A5B66DE,2,2,TRUE
EFF46788-CABA-42B7-A29E-E3A393992D7F,2,2,TRUE
FB36EAEF-E41A-4D4A-A6A3-329F7B589180,2,2,TRUE
F00EFD03-053F-4B2C-83F1-BAB4A1CD3455,2,2,TRUE
FC758B33-127D-4595-8235-9A35997ECA22,2,2,TRUE
F054D528-D1A0-4D9E-8FE3-B385FC1686C1,2,2,TRUE
FCF291DA-2659-4EEA-9169-304E1C8B4855,2,2,TRUE
F0E78DDF-3A4E-4070-BCE6-13E0C1F12FFA,2,2,TRUE
FEF8844C-FFC7-4F20-991D-A247EC5B059A,2,2,TRUE
F16205CE-03C8-4C39-9556-1D5B156D9E52,2,2,TRUE
E3B9501A-1720-4EBB-AE25-9E65F015DD53,2,2,TRUE
F20EFC88-F90C-42EC-AB6F-5E830357F7C0,2,2,TRUE
E0C73D93-6CC0-468D-806C-4BA3DDC19458,2,2,TRUE
DC0993FC-C4B1-42EB-9D26-E58EE44F2D8B,2,2,TRUE
C86C54D1-DAAE-48CC-9E2F-1D724E6B6DB6,2,2,TRUE
C5D26967-BFE9-4BB5-801A-02F3DCF7862C,2,2,TRUE
C4AD539D-A111-4FAC-93AF-8A4F2D70E657,2,2,TRUE
CB46A735-726B-4727-8AC7-195C7477F094,2,2,TRUE
D60C360C-2391-4CD7-AB39-4925DB8832E5,2,2,TRUE
CB6BAE67-3847-4B79-A36B-706A134A2990,2,2,TRUE
C86DA8C6-AC56-4E33-B92E-CEC367010692,2,2,TRUE
CB6C390F-7A4C-4F78-B682-0BC139B72691,2,2,TRUE
DD68B160-DE91-4F2F-88DB-B7074F07EDEE,2,2,TRUE
C3EB3D86-0C5A-4635-B512-1E8AE0766909,2,2,TRUE
DE9AF268-3681-4A9B-8ED1-4510CCE6C3C5,2,2,TRUE
CC46EE2D-6452-4A46-A124-BBE7258F6634,2,2,TRUE
D5AD769D-9DEF-4B7F-B745-8E2E573DEE21,2,2,TRUE
CC6D405A-C52B-4E18-A0C3-D039341730F3,2,2,TRUE
D7091525-8A0C-47A2-B6D6-D1485387DF0F,2,2,TRUE
CCA6D8CE-2FEF-44E1-A7C5-D661730BA4C6,2,2,TRUE
DA122DE5-7ADB-443D-B9A9-8CB8C0C707C2,2,2,TRUE
CCABFF99-876D-4403-A2EF-DB1399BFF6EF,2,2,TRUE
DBA2E3A9-8FC0-497C-A67C-775CF613D7DC,2,2,TRUE
CD3F999D-C18A-405D-AE16-7B3A459BADFD,2,2,TRUE
